date,summary,team
01/30/2013,gild officially supports ie,product
03/07/2013,employment and work history dates,customer-success
03/07/2013,blog and twitter feeds added,customer-success
03/7/2013,serp actions and profile view page,customer-success
03/11/2013,new search UI,product
03/22/2013,Google Code,product
03/22/2013,search suggestions for location,marketing
03/22/2013,did you mean?,product
03/28/2013,Dashboard,product
04/12/2013,new SERP,product
04/27/2013,Gild in New York Times,marketing
05/8/2013,Email & web recommendations,product
05/11/2013,New profile-view,product
05/13/2013,Job Wizard,product
05/14/2013,Map scale,product
06/3/2013,Job Title/Company,customer-success
06/9/2013,Social Media-Communities,product
06/9/2013,Tutorial,product
06/11/2013,Multiple instances of the same company or school removed,product
06/26/2013,Social Media Analysis,product
06/26/2013,Bucket Interactions-Dashboard,product
06/26/2013,Boolean Suggestions,product
07/23/2013,Something new,sales
